    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00       0.0001                            1.6083                                    21.186
            1        1       00:00:00       0.0001          1.6181                                 18.75
           50        2       00:00:10       0.0001          1.5651             1.598              28.125                22.599
          100        3       00:00:19       0.0001          1.5036            1.4663              29.688                29.096
          150        4       00:00:29       0.0001          1.2849            1.3664              40.625                37.571
          200        5       00:00:39       0.0001         0.94051            1.1959              59.375                 52.26
          250        6       00:00:50       0.0001          0.9278            1.0984              64.062                 55.65
          300        7       00:01:00       0.0001         0.81741            1.0246              65.625                58.475
          350        8       00:01:09       0.0001         0.93798           0.93988              59.375                59.887
          400       10       00:01:19       0.0001         0.76368           0.88777              73.438                64.407
          450       11       00:01:28       0.0001         0.86885            1.0061              64.062                 59.04
          500       12       00:01:37       0.0001         0.51095           0.78269              78.125                68.927
          550       13       00:01:47       0.0001         0.41719           0.75996              85.938                72.316
          600       14       00:01:56       0.0001         0.41175           0.83189                87.5                68.644
          650       15       00:02:06       0.0001         0.47216            0.7826              82.812                70.904
          700       16       00:02:15       0.0001         0.22329            0.8084              95.312                73.164
          750       18       00:02:23       0.0001         0.40767           0.89256                87.5                72.599
          800       19       00:02:32       0.0001         0.41182           0.75064                87.5                75.141
          850       20       00:02:40       0.0001         0.23932           0.85368                87.5                74.576
          900       21       00:02:48       0.0001          0.3089            0.7969                87.5                76.554
          950       22       00:02:57       0.0001          0.1965            1.1273              95.312                65.254
         1000       23       00:03:07       0.0001         0.36785           0.96962              84.375                71.186
         1050       24       00:03:16       0.0001         0.24112           0.82144              92.188                75.989
         1100       25       00:03:25       0.0001        0.082966           0.81562                 100                75.141
         1150       27       00:03:34       0.0001        0.083524            1.1162              98.438                75.424
         1200       28       00:03:43       0.0001        0.057574           0.96961              98.438                76.836
         1250       29       00:03:52       0.0001        0.077813            1.1103              98.438                75.424
         1300       30       00:04:03       0.0001         0.11338            1.0495              95.312                74.294
         1350       31       00:04:14       0.0001        0.012834            1.0552                 100                77.684
         1400       32       00:04:24       0.0001         0.18369            1.3566               93.75                72.034
         1450       33       00:04:34       0.0001        0.077468           0.93831              98.438                75.141
         1500       35       00:04:44       0.0001        0.086684            1.1242              96.875                77.401
         1550       36       00:04:55       0.0001        0.017501            1.2944                 100                72.599
         1600       37       00:05:06       0.0001        0.016713            1.3559                 100                72.316
         1650       38       00:05:16       0.0001       0.0098851            1.1455                 100                76.836
         1700       39       00:05:25       0.0001        0.060982            1.2498              96.875                77.401
         1750       40       00:05:34       0.0001       0.0091792            1.2617                 100                76.271
         1760       40       00:05:37       0.0001       0.0047745            1.2585                 100                74.859
