    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                              6.48                                    21.154
            1        1       00:00:00        0.001          1.6605                                    25
           50        1       00:00:02        0.001          1.3588            1.5317                  50                32.692
          100        1       00:00:03        0.001            1.29            1.5957               43.75                29.945
          150        1       00:00:05        0.001           1.432            1.4166                  25                36.813
          200        2       00:00:06        0.001          1.3385            1.7083               43.75                 20.33
          250        2       00:00:07        0.001           1.486              1.33                37.5                 40.11
          300        2       00:00:09        0.001          1.1872            1.2806               56.25                 45.33
          350        2       00:00:10        0.001          1.1299            1.7167               43.75                24.176
          400        3       00:00:12        0.001          1.1592            1.3547               43.75                 39.56
          450        3       00:00:13        0.001          1.2804            1.4544                37.5                37.363
          500        3       00:00:15        0.001          1.3612            2.0517               43.75                32.967
          550        4       00:00:16        0.001          1.0734            2.2611               43.75                25.275
          600        4       00:00:18        0.001          1.0247            1.3188                62.5                42.857
          650        4       00:00:19        0.001          1.1336            1.1842                  50                47.253
          700        4       00:00:21        0.001          1.0347            1.2172               56.25                43.681
          750        5       00:00:22        0.001          1.1226            1.3182                  50                40.385
          800        5       00:00:24        0.001          1.0358           0.98816               56.25                57.967
          850        5       00:00:25        0.001         0.80818           0.99679               68.75                59.066
          900        5       00:00:26        0.001          1.0054            1.1436               56.25                51.099
          950        6       00:00:28        0.001          0.9157           0.90849               68.75                61.264
         1000        6       00:00:29        0.001          1.0796            1.0533                62.5                53.297
         1050        6       00:00:31        0.001         0.74346            1.0801                  75                51.374
         1100        7       00:00:32        0.001          1.0944           0.88363               56.25                61.264
         1150        7       00:00:34        0.001           0.978            1.1355                62.5                53.571
         1200        7       00:00:35        0.001         0.94428            1.0384                  50                57.967
         1250        7       00:00:36        0.001         0.90374           0.88146                62.5                58.516
         1300        8       00:00:38        0.001           1.007            1.2069                  50                49.451
         1350        8       00:00:39        0.001         0.65589           0.94763                62.5                60.989
         1400        8       00:00:40        0.001         0.84501           0.90111                  50                59.066
         1450        8       00:00:42        0.001          0.4953           0.89815                  75                62.912
         1500        9       00:00:43        0.001         0.93947            0.8076               56.25                64.286
         1550        9       00:00:45        0.001         0.59379           0.98057               81.25                60.165
         1600        9       00:00:46        0.001         0.67512            1.0905                  75                56.593
         1650       10       00:00:48        0.001         0.59867            1.2116               81.25                 55.22
         1700       10       00:00:49        0.001         0.80251           0.95205                  75                 59.89
         1750       10       00:00:51        0.001           1.054             0.731                62.5                69.231
         1800       10       00:00:52        0.001         0.86988           0.79308               68.75                67.308
         1850       11       00:00:54        0.001         0.64383            0.8182                  75                67.033
         1900       11       00:00:55        0.001         0.54122           0.83866                  75                 64.56
         1950       11       00:00:57        0.001         0.68633           0.82897               68.75                65.934
         2000       11       00:00:58        0.001         0.47785           0.80417                  75                68.407
         2050       12       00:00:59        0.001         0.32843           0.78516                87.5                66.758
         2100       12       00:01:01        0.001         0.56748           0.93059               81.25                63.462
         2150       12       00:01:02        0.001         0.58326           0.71674               68.75                71.429
         2200       13       00:01:04        0.001         0.60205           0.87582                  75                65.659
         2250       13       00:01:05        0.001         0.86103           0.90671               56.25                61.264
         2300       13       00:01:07        0.001         0.61498           0.77746                62.5                68.132
         2350       13       00:01:08        0.001          0.7499           0.84686                62.5                66.209
         2400       14       00:01:10        0.001         0.47982           0.69896               81.25                71.978
         2450       14       00:01:11        0.001         0.30793           0.72919                87.5                71.978
         2500       14       00:01:12        0.001         0.63545           0.87464               68.75                66.484
         2550       15       00:01:14        0.001          1.2311           0.67924                  50                71.154
         2600       15       00:01:15        0.001         0.56849           0.87938               68.75                64.286
         2650       15       00:01:17        0.001         0.28571           0.85642                87.5                67.033
         2700       15       00:01:18        0.001         0.36709           0.65272                87.5                73.626
         2750       16       00:01:20       0.0005         0.47608           0.71379               81.25                71.703
         2800       16       00:01:21       0.0005         0.72328           0.62521                  75                74.725
         2850       16       00:01:22       0.0005         0.57296           0.61817               68.75                76.374
         2900       16       00:01:24       0.0005         0.59361           0.62825               68.75                75.549
         2950       17       00:01:25       0.0005         0.83618           0.66461                  75                74.725
         3000       17       00:01:27       0.0005         0.34651           0.61259               81.25                78.297
         3050       17       00:01:28       0.0005         0.55389           0.61014                  75                78.022
         3100       18       00:01:30       0.0005         0.24229            0.6668               93.75                74.451
         3150       18       00:01:31       0.0005         0.39526            0.6314                87.5                73.352
         3200       18       00:01:33       0.0005         0.19547           0.62945               93.75                76.374
         3250       18       00:01:34       0.0005         0.24847           0.64667               93.75                76.374
         3300       19       00:01:36       0.0005         0.31872           0.70605                87.5                71.703
         3350       19       00:01:37       0.0005         0.19894           0.61771                 100                77.473
         3400       19       00:01:39       0.0005         0.60817           0.61746               68.75                75.549
         3450       19       00:01:40       0.0005         0.39639           0.61558                87.5                75.549
         3500       20       00:01:42       0.0005         0.27378           0.60112                87.5                78.297
         3550       20       00:01:43       0.0005         0.64225           0.64433                  75                76.099
         3600       20       00:01:45       0.0005         0.50753           0.62352                87.5                77.198
         3650       21       00:01:46       0.0005         0.12836           0.68254                 100                75.275
         3700       21       00:01:48       0.0005         0.17599           0.60181                 100                76.374
         3750       21       00:01:49       0.0005           0.465           0.60734                  75                76.099
         3800       21       00:01:51       0.0005          0.6577           0.62229                  75                76.648
         3850       22       00:01:52       0.0005         0.49315           0.63477               81.25                78.571
         3900       22       00:01:53       0.0005         0.25661           0.62447                87.5                78.297
         3950       22       00:01:55       0.0005         0.25082           0.56288               93.75                 80.22
         4000       22       00:01:56       0.0005         0.42682           0.66289                87.5                73.352
         4050       23       00:01:58       0.0005         0.15835           0.60618                 100                76.923
         4100       23       00:01:59       0.0005         0.33293           0.67171                87.5                75.824
         4150       23       00:02:01       0.0005         0.50111           0.59277               81.25                78.846
         4200       24       00:02:02       0.0005          0.5286           0.64743                  75                78.022
         4250       24       00:02:03       0.0005         0.42529           0.65857                  75                78.022
         4300       24       00:02:05       0.0005         0.37909           0.58547                87.5                 79.67
         4350       24       00:02:06       0.0005         0.24164           0.57114               93.75                78.571
         4400       25       00:02:08       0.0005         0.31591            0.6483                87.5                77.198
         4450       25       00:02:09       0.0005         0.35477           0.63054                87.5                76.923
         4500       25       00:02:10       0.0005         0.68026           0.57439               81.25                79.396
         4550       25       00:02:12       0.0005         0.29378           0.61892               93.75                77.198
         4600       26       00:02:13       0.0005         0.17244           0.58538                 100                78.846
         4650       26       00:02:15       0.0005          0.5005           0.60384                87.5                 79.67
         4700       26       00:02:16       0.0005         0.42265           0.70782                87.5                77.747
         4750       27       00:02:18       0.0005         0.49232           0.65111                  75                78.846
         4800       27       00:02:19       0.0005         0.58787            0.7803                  75                75.824
         4850       27       00:02:21       0.0005         0.32603           0.61179                87.5                80.495
         4900       27       00:02:22       0.0005         0.12476           0.72459                 100                76.099
