    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:04        0.001                            12.206                                    20.339
            1        1       00:00:04        0.001          1.9047                                26.562
           50        2       00:00:13        0.001           1.221            1.3359                62.5                41.525
          100        3       00:00:16        0.001          1.2162             1.174              53.125                53.672
          150        4       00:00:18        0.001         0.93171            1.1102                  75                57.345
          200        5       00:00:21        0.001          1.0081            1.2618              70.312                47.458
          250        6       00:00:23        0.001         0.86457           0.92845              70.312                60.452
          300        7       00:00:26        0.001         0.88388             1.076              65.625                 54.52
          350        8       00:00:28        0.001         0.69859           0.95564              71.875                61.017
          400       10       00:00:30        0.001         0.60453           0.97082              79.688                61.299
          450       11       00:00:33        0.001         0.75358           0.83605              70.312                66.949
          500       12       00:00:35        0.001         0.57593           0.75237              79.688                72.316
          550       13       00:00:38        0.001         0.65081           0.68081              78.125                75.706
          600       14       00:00:40        0.001          0.5787             1.943              76.562                32.768
          650       15       00:00:43        0.001         0.45833            0.7375              85.938                74.294
          700       16       00:00:45        0.001         0.55558           0.87531              78.125                64.124
          750       18       00:00:47        0.001         0.45632           0.69976                87.5                73.729
          800       19       00:00:50        0.001         0.53248           0.90339              79.688                62.994
          850       20       00:00:53        0.001          0.2852           0.54289               93.75                79.379
          900       21       00:00:55        0.001         0.36975            0.7379              85.938                71.469
          950       22       00:00:58        0.001         0.36832           0.74916              84.375                71.469
         1000       23       00:01:00        0.001         0.27837           0.63629              96.875                75.989
         1050       24       00:01:03        0.001         0.42471            0.5876                87.5                76.836
         1100       25       00:01:05        0.001         0.36002            1.1103              90.625                59.322
         1150       27       00:01:08       0.0005         0.27572           0.52109              89.062                80.508
         1200       28       00:01:10       0.0005         0.29288           0.49131               93.75                82.486
         1250       29       00:01:12       0.0005         0.20004           0.58266               93.75                77.966
         1300       30       00:01:14       0.0005         0.25936            0.4339               93.75                85.028
         1350       31       00:01:16       0.0005         0.29928           0.39765              90.625                85.311
         1400       32       00:01:18       0.0005         0.21343           0.49231              98.438                80.508
         1450       33       00:01:20       0.0005         0.23043           0.55044               93.75                76.554
         1500       35       00:01:24       0.0005         0.14872           0.52306              95.312                80.508
         1550       36       00:01:26       0.0005         0.20634           0.38449              96.875                85.876
         1600       37       00:01:28       0.0005         0.15057           0.41738              96.875                83.898
         1650       38       00:01:31       0.0005         0.13986           0.38984              98.438                85.028
         1700       39       00:01:33       0.0005         0.16853           0.58722              95.312                78.531
         1750       40       00:01:35       0.0005          0.1953            0.3866              96.875                85.876
         1800       41       00:01:38       0.0005         0.16876           0.41364              96.875                83.616
         1850       43       00:01:40       0.0005        0.097453           0.43122                 100                80.508
         1900       44       00:01:43       0.0005         0.17499           0.42489              96.875                83.898
         1950       45       00:01:45       0.0005         0.15964           0.41398              96.875                84.181
         2000       46       00:01:48       0.0005         0.12743           0.41929              98.438                84.463
         2050       47       00:01:52       0.0005         0.16798           0.36538              96.875                86.158
         2100       48       00:01:55       0.0005         0.12294           0.42726              96.875                85.876
         2150       49       00:01:57       0.0005         0.11294           0.36031              98.438                86.441
         2200       50       00:01:59       0.0005         0.13182           0.40039              96.875                83.898
         2250       52       00:02:01      0.00025        0.078062            0.3453                 100                87.288
         2300       53       00:02:03      0.00025        0.068948           0.38782                 100                86.723
         2350       54       00:02:05      0.00025        0.068981           0.35397                 100                86.158
         2400       55       00:02:07      0.00025        0.095014           0.34391                 100                86.723
         2450       56       00:02:10      0.00025        0.051784           0.35144                 100                86.723
         2500       57       00:02:12      0.00025        0.088341           0.35624              98.438                86.723
         2550       58       00:02:14      0.00025        0.060541           0.36072                 100                87.006
         2600       60       00:02:17      0.00025        0.072693           0.50775              98.438                81.073
         2650       61       00:02:19      0.00025        0.047826            0.3725                 100                86.441
         2700       62       00:02:21      0.00025         0.10894            0.3862              96.875                84.746
         2750       63       00:02:24      0.00025        0.048848           0.34742                 100                87.853
         2800       64       00:02:26      0.00025        0.063033           0.34331                 100                87.571
         2850       65       00:02:28      0.00025        0.084945           0.37943              98.438                86.723
         2900       66       00:02:30      0.00025        0.077841           0.36236              98.438                87.006
         2950       68       00:02:33      0.00025        0.060577           0.34215              98.438                87.571
         3000       69       00:02:35      0.00025        0.049555           0.35542                 100                86.441
         3050       70       00:02:37      0.00025        0.074488           0.68971                 100                78.814
         3100       71       00:02:40      0.00025        0.070933            0.3956              98.438                86.441
         3150       72       00:02:43      0.00025         0.12512           0.36797              95.312                86.441
         3200       73       00:02:45      0.00025        0.047756           0.35895                 100                86.723
         3250       74       00:02:47      0.00025        0.051418           0.36345                 100                87.571
         3300       75       00:02:49      0.00025        0.048181           0.45169                 100                85.593
         3350       77       00:02:51     0.000125        0.045494            0.3784                 100                85.593
         3400       78       00:02:54     0.000125        0.049437           0.35656                 100                87.853
         3450       79       00:02:56     0.000125        0.036193           0.36547                 100                86.441
Training stopped: Met validation criterion
