    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                            5.4708                                    22.727
            1        1       00:00:00        0.001          1.6488                                 18.75
           50        1       00:00:02        0.001          1.3157             1.486                37.5                32.168
          100        1       00:00:03        0.001           1.397            1.3255               43.75                41.608
          150        1       00:00:05        0.001          1.1132            1.2149                62.5                49.301
          200        2       00:00:07        0.001          0.9981            1.1868               56.25                46.853
          250        2       00:00:08        0.001          1.3054            1.1357                  50                49.301
          300        2       00:00:10        0.001          1.2253            1.2588                  50                47.203
          350        3       00:00:11        0.001          1.2403            1.1008               56.25                50.699
          400        3       00:00:13        0.001          1.2042            1.4361               43.75                43.357
          450        3       00:00:15        0.001          1.0878            1.2898                  50                48.252
          500        4       00:00:16        0.001          1.1669            1.5865               56.25                34.266
          550        4       00:00:18        0.001          1.1268            1.1122               56.25                55.594
          600        4       00:00:19        0.001         0.85451            1.0594                  75                53.497
          650        5       00:00:21        0.001          1.0023            1.1058                62.5                52.797
          700        5       00:00:22        0.001         0.99574            1.1452                62.5                52.448
          750        5       00:00:24        0.001          1.0757           0.99763               68.75                61.888
          800        5       00:00:25        0.001          1.0508            1.2542               56.25                46.503
          850        6       00:00:27        0.001          1.2173            1.0299                  50                60.839
          900        6       00:00:29        0.001         0.75578            1.1233                  75                54.545
          950        6       00:00:30        0.001         0.66679             1.116               68.75                52.098
         1000        7       00:00:32        0.001          1.0445            1.1881                  50                51.049
         1050        7       00:00:33        0.001         0.96299            0.9155                62.5                65.385
         1100        7       00:00:35        0.001         0.94375           0.84797               56.25                66.084
         1150        8       00:00:36        0.001         0.70023            0.9034               68.75                63.287
         1200        8       00:00:38        0.001          0.7258           0.97695                  75                 60.14
         1250        8       00:00:39        0.001         0.63459           0.99242               81.25                60.839
         1300        9       00:00:41        0.001         0.61655           0.79427               81.25                69.231
         1350        9       00:00:42        0.001         0.63725           0.93168               68.75                 59.79
         1400        9       00:00:44        0.001          1.1356           0.86477               56.25                63.287
         1450       10       00:00:45        0.001         0.73834           0.85129               68.75                65.734
         1500       10       00:00:47        0.001         0.59477           0.96255                  75                61.888
         1550       10       00:00:49        0.001         0.69653           0.94157               68.75                60.839
         1600       10       00:00:50        0.001         0.58546           0.77068               81.25                69.231
         1650       11       00:00:52        0.001         0.49605           0.80218               81.25                68.531
         1700       11       00:00:54        0.001         0.73184           0.71931                62.5                71.329
         1750       11       00:00:55        0.001         0.92649            1.0296                  50                54.895
         1800       12       00:00:57        0.001         0.73254           0.75327                62.5                 69.58
         1850       12       00:00:58        0.001         0.52417            0.8461               81.25                65.035
         1900       12       00:01:00        0.001         0.86504           0.89974               56.25                62.238
         1950       13       00:01:02        0.001           0.737           0.83783                62.5                65.035
         2000       13       00:01:04        0.001         0.41398            0.7655                87.5                65.385
         2050       13       00:01:05        0.001         0.84005           0.75727               81.25                 69.93
         2100       14       00:01:07        0.001          1.3707           0.74185               43.75                68.881
         2150       14       00:01:08        0.001         0.32399           0.74401               93.75                72.378
         2200       14       00:01:10        0.001         0.75663           0.69176               81.25                72.028
         2250       14       00:01:11        0.001         0.47434            0.8825                87.5                67.483
         2300       15       00:01:13        0.001         0.88984           0.71593               68.75                68.531
         2350       15       00:01:14        0.001         0.69819           0.71505                62.5                68.182
         2400       15       00:01:16        0.001         0.42018           0.68392               81.25                74.476
         2450       16       00:01:17       0.0005          0.2811           0.60464                 100                77.972
         2500       16       00:01:19       0.0005         0.68269           0.59353                  75                76.573
         2550       16       00:01:20       0.0005         0.76198           0.60763               68.75                74.825
         2600       17       00:01:22       0.0005         0.48911           0.58093                  75                74.476
         2650       17       00:01:23       0.0005         0.44778           0.58118                  75                77.972
         2700       17       00:01:25       0.0005         0.74306           0.60963                62.5                75.524
         2750       18       00:01:26       0.0005         0.28323           0.57861                87.5                79.371
         2800       18       00:01:28       0.0005         0.52742           0.63676               81.25                73.776
         2850       18       00:01:29       0.0005         0.72913           0.69509               68.75                73.427
         2900       19       00:01:31       0.0005         0.42669           0.60911                87.5                76.573
         2950       19       00:01:33       0.0005         0.72316           0.58055               68.75                78.322
         3000       19       00:01:34       0.0005         0.47524           0.57885                  75                77.972
         3050       19       00:01:36       0.0005          0.7359           0.55803                62.5                78.671
         3100       20       00:01:37       0.0005         0.36024           0.54807               81.25                79.021
         3150       20       00:01:39       0.0005         0.23911           0.57204                87.5                78.322
         3200       20       00:01:41       0.0005         0.47035           0.74777               68.75                68.182
         3250       21       00:01:42       0.0005         0.64559           0.59016               81.25                77.972
         3300       21       00:01:44       0.0005         0.29964           0.59688                 100                76.573
         3350       21       00:01:46       0.0005         0.20406           0.54825               93.75                79.371
         3400       22       00:01:47       0.0005          0.2544           0.58865                87.5                75.524
         3450       22       00:01:49       0.0005         0.34273           0.57183               93.75                78.671
         3500       22       00:01:51       0.0005          0.3796           0.62185                87.5                77.273
         3550       23       00:01:52       0.0005         0.42375           0.61091                  75                75.175
         3600       23       00:01:54       0.0005         0.36219           0.57169               81.25                77.273
         3650       23       00:01:55       0.0005         0.88103           0.56918               56.25                76.923
         3700       23       00:01:57       0.0005         0.30527           0.69826               81.25                74.825
         3750       24       00:01:58       0.0005         0.26651            0.5233               81.25                80.769
         3800       24       00:02:00       0.0005          0.2181            0.5728               93.75                 80.07
