    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                            9.6088                                    18.644
            1        1       00:00:00        0.001          1.7906                                17.188
           50        2       00:00:02        0.001          1.4707            1.4817              34.375                37.853
          100        3       00:00:03        0.001          1.3757            1.4229              45.312                36.723
          150        4       00:00:04        0.001          1.3131             1.395               43.75                37.288
          200        5       00:00:05        0.001          1.2112            1.3369              39.062                 44.35
          250        6       00:00:07        0.001          1.2263            1.4591              54.688                34.463
          300        7       00:00:08        0.001           1.149            1.2379              51.562                 47.74
          350        8       00:00:09        0.001          1.1933            1.6026              51.562                26.554
          400       10       00:00:11        0.001          1.1147            1.1906                  50                51.977
          450       11       00:00:12        0.001          1.2157             1.405              48.438                37.853
          500       12       00:00:13        0.001          1.3312            1.2955              39.062                38.701
          550       13       00:00:14        0.001          1.0955            1.2674              53.125                44.068
          600       14       00:00:15        0.001          1.1451            1.2241                  50                44.633
          650       15       00:00:17        0.001          1.2116            1.1447               56.25                50.847
          700       16       00:00:18        0.001          1.0094            1.4132              60.938                44.068
          750       18       00:00:19        0.001          1.0012            1.2481              60.938                 51.13
          800       19       00:00:20        0.001           0.901             1.367              65.625                38.983
          850       20       00:00:21        0.001          1.0181            1.6051              65.625                33.333
          900       21       00:00:23        0.001          1.0602            1.0822              59.375                51.977
          950       22       00:00:24        0.001          1.0112            1.1712              60.938                 51.13
         1000       23       00:00:25        0.001          1.0122           0.99531                62.5                60.452
         1050       24       00:00:26        0.001          1.0692           0.98113              54.688                65.537
         1100       25       00:00:29        0.001         0.78687            1.5394              70.312                38.136
         1150       27       00:00:30       0.0005          1.0232            1.0426              59.375                58.475
         1200       28       00:00:31       0.0005          0.9621            1.5451              70.312                36.441
         1250       29       00:00:32       0.0005         0.82238           0.91132              70.312                67.514
         1300       30       00:00:34       0.0005         0.98118            1.0721               68.75                54.237
         1350       31       00:00:35       0.0005          0.7683            1.2461              78.125                44.068
         1400       32       00:00:36       0.0005         0.87044           0.99862                62.5                60.734
         1450       33       00:00:38       0.0005         0.92651            0.9545              64.062                62.429
         1500       35       00:00:39       0.0005         0.84771             0.968              76.562                62.429
         1550       36       00:00:40       0.0005         0.69908           0.90633              76.562                65.537
         1600       37       00:00:42       0.0005         0.86151           0.90069              70.312                64.972
         1650       38       00:00:43       0.0005          0.8305            1.6528              73.438                42.373
         1700       39       00:00:44       0.0005         0.81454           0.91445               68.75                64.972
         1750       40       00:00:45       0.0005         0.98797            0.9601              67.188                62.147
         1800       41       00:00:46       0.0005         0.97141           0.86165               56.25                66.384
         1850       43       00:00:47       0.0005         0.91952           0.91088              67.188                64.407
         1900       44       00:00:49       0.0005          1.0256            1.3285              59.375                50.847
         1950       45       00:00:50       0.0005         0.61965           0.90499              85.938                64.972
         2000       46       00:00:51       0.0005         0.68931            1.0262              70.312                 57.91
         2050       47       00:00:53       0.0005         0.69956            1.6794              73.438                37.288
         2100       48       00:00:54       0.0005         0.68762           0.94552                  75                65.537
         2150       49       00:00:55       0.0005         0.64704            1.0175              82.812                58.757
         2200       50       00:00:57       0.0005         0.84332           0.84429              71.875                68.644
         2250       52       00:00:58      0.00025         0.69086           0.86766              73.438                67.514
         2300       53       00:00:59      0.00025         0.67226           0.82697              78.125                67.514
         2350       54       00:01:00      0.00025         0.69882           0.89091              79.688                65.254
         2400       55       00:01:01      0.00025         0.84133           0.82851              70.312                69.774
         2450       56       00:01:03      0.00025         0.64091           0.80623                  75                70.056
         2500       57       00:01:04      0.00025         0.77925           0.85225              76.562                67.232
         2550       58       00:01:05      0.00025         0.85976           0.83437              67.188                68.644
         2600       60       00:01:06      0.00025         0.62618           0.88094              76.562                66.102
         2650       61       00:01:07      0.00025         0.66447           0.82247              76.562                70.339
         2700       62       00:01:09      0.00025         0.65636           0.87459              78.125                67.797
         2750       63       00:01:10      0.00025         0.65825           0.99697                  75                59.605
         2800       64       00:01:11      0.00025         0.62532           0.82466              78.125                68.079
         2850       65       00:01:12      0.00025         0.82619           0.85869              70.312                66.102
         2900       66       00:01:14      0.00025         0.74026            0.7921              71.875                70.339
         2950       68       00:01:15      0.00025          0.8406           0.79057              71.875                69.774
         3000       69       00:01:16      0.00025         0.57355           0.81442              76.562                70.056
         3050       70       00:01:17      0.00025         0.83994           0.81941                  75                68.362
         3100       71       00:01:19      0.00025         0.75711            0.7941              70.312                70.621
         3150       72       00:01:20      0.00025         0.68986           0.83607              73.438                68.927
         3200       73       00:01:21      0.00025         0.67777           0.83238              76.562                68.644
         3250       74       00:01:23      0.00025         0.73558           0.80033                  75                69.492
         3300       75       00:01:24      0.00025         0.67995           0.80049                  75                70.339
         3350       77       00:01:26     0.000125         0.77476           0.77975                62.5                70.621
         3400       78       00:01:27     0.000125         0.66291           0.81148              82.812                69.209
         3450       79       00:01:29     0.000125         0.75634           0.78139              71.875                71.751
         3500       80       00:01:30     0.000125         0.76878           0.77401              73.438                71.469
         3520       80       00:01:31     0.000125          0.8308           0.84365              71.875                68.362
