    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                            11.315                                    21.329
            1        1       00:00:00        0.001          1.7416                                17.188
           50        2       00:00:04        0.001          1.2243            1.2982              53.125                43.357
          100        3       00:00:06        0.001         0.89507            1.5036              70.312                37.413
          150        4       00:00:09        0.001         0.76505            1.2529              82.812                45.804
          200        5       00:00:11        0.001         0.67369           0.97878              78.125                62.587
          250        7       00:00:13        0.001         0.62341           0.77417              79.688                72.028
          300        8       00:00:16        0.001         0.49761           0.67777              85.938                76.923
          350        9       00:00:18        0.001         0.62498           0.70077               81.25                74.126
          400       10       00:00:20        0.001         0.37476           0.63129              95.312                77.273
          450       12       00:00:22        0.001         0.45884           0.79643              89.062                71.329
          500       13       00:00:24        0.001         0.45114           0.60397              89.062                78.671
          550       14       00:00:26        0.001         0.46053           0.58553              85.938                 80.42
          600       15       00:00:29        0.001         0.47009            1.0016              78.125                63.636
          650       17       00:00:31        0.001         0.27422           0.68693              95.312                71.329
          700       18       00:00:33        0.001          0.2724           0.57104              95.312                75.874
          750       19       00:00:35        0.001         0.34307           0.51695              95.312                 80.42
          800       20       00:00:40        0.001         0.30265           0.72787              92.188                73.427
          850       22       00:00:42        0.001         0.28389           0.82361              90.625                 69.93
          900       23       00:00:45        0.001         0.34204           0.49887              90.625                81.469
          950       24       00:00:47        0.001         0.20068           0.55698              95.312                77.972
         1000       25       00:00:49        0.001         0.24551           0.55461              92.188                78.322
         1050       27       00:00:51       0.0005         0.19457           0.42245              95.312                84.615
         1100       28       00:00:53       0.0005         0.27413           0.49526              96.875                83.217
         1150       29       00:00:55       0.0005          0.2154           0.42863              96.875                83.566
         1200       30       00:00:58       0.0005         0.19154           0.38055              92.188                88.811
         1250       32       00:01:00       0.0005         0.27647           0.39421              89.062                86.364
         1300       33       00:01:02       0.0005          0.2362           0.39505              89.062                86.713
         1350       34       00:01:04       0.0005         0.14815           0.44845              95.312                84.965
         1400       35       00:01:06       0.0005         0.17832           0.42573              95.312                84.965
         1450       37       00:01:08       0.0005         0.11535           0.44811                 100                84.615
         1500       38       00:01:10       0.0005         0.18597           0.39209              92.188                87.762
         1550       39       00:01:13       0.0005         0.12348           0.42138              98.438                82.867
         1600       40       00:01:15       0.0005         0.11305           0.39792              96.875                86.713
         1650       42       00:01:17       0.0005         0.16144            0.5706              95.312                77.273
         1700       43       00:01:19       0.0005        0.087979           0.40228              98.438                84.965
Training stopped: Met validation criterion
