    Iteration    Epoch    TimeElapsed    LearnRate    TrainingLoss    ValidationLoss    TrainingAccuracy    ValidationAccuracy
    _________    _____    ___________    _________    ____________    ______________    ________________    __________________
            0        0       00:00:00        0.001                            13.043                                    18.182
            1        1       00:00:00        0.001          1.6846                                15.625
           50        2       00:00:03        0.001           1.194            1.2444              59.375                45.455
          100        3       00:00:06        0.001          0.9853            1.1381              73.438                52.098
          150        4       00:00:08        0.001          1.0016            1.0765              70.312                52.797
          200        5       00:00:11        0.001         0.90879            1.0044               68.75                62.238
          250        7       00:00:13        0.001         0.74252           0.93305                  75                63.287
          300        8       00:00:16        0.001         0.69235            1.1766              79.688                51.049
          350        9       00:00:19        0.001         0.59396           0.78942               81.25                72.378
          400       10       00:00:22        0.001         0.64764           0.94403               81.25                 60.14
          450       12       00:00:25        0.001         0.71312             1.059              70.312                59.091
          500       13       00:00:27        0.001         0.71582           0.87109              73.438                68.531
          550       14       00:00:30        0.001         0.68399           0.66003              70.312                75.874
          600       15       00:00:33        0.001         0.51176           0.68508               81.25                73.427
          650       17       00:00:36        0.001         0.61098           0.67531                  75                73.077
          700       18       00:00:38        0.001         0.52684           0.81448              79.688                67.483
          750       19       00:00:41        0.001         0.60191           0.71795              78.125                68.182
          800       20       00:00:44        0.001         0.47545           0.64457              85.938                70.629
          850       22       00:00:47        0.001         0.43955           0.94125               81.25                65.734
          900       23       00:00:49        0.001         0.45819           0.55223               81.25                 80.42
          950       24       00:00:52        0.001         0.39139           0.59347                87.5                76.923
         1000       25       00:00:55        0.001         0.44195            0.6643               81.25                76.923
         1050       27       00:00:58       0.0005         0.38322           0.73196              82.812                74.476
         1100       28       00:01:00       0.0005         0.46298           0.62443              84.375                77.622
         1150       29       00:01:03       0.0005         0.30725           0.48065              90.625                82.168
         1200       30       00:01:05       0.0005         0.27521            0.6521              90.625                73.427
         1250       32       00:01:08       0.0005           0.416           0.47739              79.688                82.168
         1300       33       00:01:10       0.0005         0.32223           0.53027              90.625                 79.72
         1350       34       00:01:13       0.0005         0.37444           0.45421              89.062                84.615
         1400       35       00:01:16       0.0005         0.32409            0.5294              90.625                 80.07
         1450       37       00:01:19       0.0005         0.47825           0.46819               81.25                81.469
         1500       38       00:01:23       0.0005         0.26641           0.46374               93.75                84.615
         1550       39       00:01:26       0.0005         0.18422            0.5232              95.312                82.168
         1600       40       00:01:29       0.0005         0.38599           0.46864              84.375                82.517
         1650       42       00:01:32       0.0005         0.30837           0.41324              90.625                84.266
         1700       43       00:01:35       0.0005         0.18409           0.53215              96.875                 79.72
         1750       44       00:01:38       0.0005         0.21935           0.39514              96.875                83.916
         1800       45       00:01:41       0.0005         0.28922           0.42581              92.188                82.867
         1850       47       00:01:43       0.0005         0.14833           0.66668              96.875                75.874
         1900       48       00:01:46       0.0005          0.2658           0.43492              85.938                82.867
         1950       49       00:01:49       0.0005         0.29567           0.60156              92.188                75.874
         2000       50       00:01:51       0.0005         0.24414           0.55319               93.75                 80.42
         2050       52       00:01:55      0.00025         0.30142           0.38205              85.938                85.664
         2100       53       00:01:58      0.00025         0.23271           0.37825              96.875                88.112
         2150       54       00:02:00      0.00025         0.19024           0.38284              96.875                86.713
         2200       55       00:02:03      0.00025         0.13851           0.35653              98.438                86.713
         2250       57       00:02:05      0.00025         0.25181           0.37261              92.188                84.266
         2300       58       00:02:08      0.00025         0.30089           0.37687              89.062                84.615
         2350       59       00:02:11      0.00025         0.23052           0.36593              90.625                87.413
         2400       60       00:02:14      0.00025         0.20669           0.39322              92.188                86.713
         2450       62       00:02:17      0.00025         0.21393           0.38213              92.188                86.364
         2500       63       00:02:20      0.00025         0.21241           0.37916              89.062                84.965
         2550       64       00:02:24      0.00025         0.16625           0.36961              95.312                85.315
         2600       65       00:02:27      0.00025         0.21126           0.39421              95.312                84.266
         2650       67       00:02:29      0.00025         0.25342           0.37129              89.062                84.965
         2700       68       00:02:32      0.00025         0.27088           0.35907               93.75                84.615
         2750       69       00:02:34      0.00025         0.18658           0.44573               93.75                85.315
         2800       70       00:02:37      0.00025         0.33251           0.44981              92.188                83.217
         2850       72       00:02:39      0.00025         0.14681           0.35008              98.438                86.014
         2900       73       00:02:41      0.00025         0.19022           0.34869               93.75                87.063
         2950       74       00:02:44      0.00025           0.175            0.3435              96.875                87.762
         3000       75       00:02:46      0.00025         0.20448           0.37015               93.75                86.364
         3050       77       00:02:49     0.000125         0.23638           0.33576              92.188                87.063
         3100       78       00:02:51     0.000125         0.21379           0.35016              92.188                86.713
         3150       79       00:02:55     0.000125         0.26076           0.34634              89.062                85.664
         3200       80       00:02:59     0.000125         0.13455            0.3263              95.312                85.664
